User_Name,Stars_Rating,Review_Title,Review_Date,Review_Content
Sandra Ohan,4.0 out of 5 stars,Angenehmes Material,Reviewed in Germany on 6 February 2023,Hält was es verspricht.. Gerne wieder
Emnesty,4.0 out of 5 stars,Wie ein Word Champion!,Reviewed in Germany on 28 January 2023,"Puh war das gut! Sagte sie!Ballern wie ein Weltmeister , mit Performa.Ob quicky oder love nicht mehr ohne mein performa."
Super byer,5.0 out of 5 stars,TOP,Reviewed in Germany on 23 January 2023,Kann ich wärmstens empfehlen.Ich bin mit der Qualität und diesem doch etwas anderem Kondom von Durex sehr zufrieden.Es hält was es verspricht.
User not found,5.0 out of 5 stars,Really amazing,Reviewed in Germany on 28 December 2022,"I bought this to use for the first time I wanted to sleep with my girlfriend because i was a little bit afraid that i can not hold it enough. because i really like her, i though i'd be too excited.So i used this candom and didn't mention that it has benzocain.I lasted about 3 hours (50 minutes of penetration). It works, it's perfect."
Robin,5.0 out of 5 stars,Sehr empfehlenswert,Reviewed in Germany on 23 January 2023,halten was sie versprechen
Luke,5.0 out of 5 stars,TOP,Reviewed in Germany on 21 January 2023,halten was sie versprechen am besten für mehr als 2 gedacht
Ben Rödiger,4.0 out of 5 stars,Sporadischer Erfolg,Reviewed in Germany on 23 October 2022,"Ich habe die lange im Wechsel benutzt und muss sagen, dass sie nicht immer ihren Job getan haben. Sehr sporadisch. Aber wenn es funktioniert hat, wurden aus 5 Minuten 60 oder mehr.Habe aber auch selten diese Einwirkzeit beachtet."
Isabella Efpunkt,5.0 out of 5 stars,"Sie halten, was sie versprechen",Reviewed in Germany on 21 December 2019,"Durch die Medien sind wir auf diese Kondome gestoßen und wollten uns mal ein eigenes Bild machen.Lieferung / Lieferumfang:Dank Amazon-Prime kamen die Kondome von Durex sicher verpackt und schon am nächsten Werktag bei uns an.Lieferumgang:14 Durex Performa KondomeVerarbeitung und Qualität:Die Kondome von Durex versprechen längeren Spaß durch den 5%igen Anteil an benzocain. Was passiert also? Im inneren des Kondoms ist eine benzocain haltige Creme, die beim überziehen des Kondomes in der Spitze verbleibt. Durch die Körperwärme verflüssigt sich die Creme und verteilt sich quasi ""von alleine"" innerhalb des Kondoms. Dadurch tritt sehr schnell eine abgeschwächte Betäubung des Glieds auf. Durch diese Betäubung soll Mann länger können. Und was soll ich sagen: Es funktioniert. Es funktioniert so gut, dass stellenweise das Kondom abgenommen werden musste, weil fast nichts mehr zu spüren war.Was ist nicht so toll?Das Gel welches sich in der Spitze des Kondoms befindet kann sehr schnell aus dem Kondom fallen, was dieses teurere Kondom dann zu einem normalen Kondom macht und somit keinerlei Wirkung mehr hat. Hier sollte man also aufpassen.Empfehlung:Die Kondome machen ihrem Namen alle Ehre. Es hält was es verspricht und ist meiner Meinung nach den Aufpreis wert. Wer also Probleme mit der Dauer des Aktes hat, findet hier schnelle und einfache Abhilfe.Absolute Kaufempfehlung!Ich versuche mir mit meinen Bewertungen immer besonders viel Mühe zu geben und hoffe euch einen übersichtlichen Eindruck vermittelt zu haben.Vielen Dank :-)"
Qadir,4.0 out of 5 stars,Super,Reviewed in Germany on 5 November 2022,it is absolutely fine for a long love night
Andreas,5.0 out of 5 stars,Sehr zufrieden,Reviewed in Germany on 23 November 2022,Klar kann man die einfach im dm holen aber die eher es kompliziert machen wollen ist es auch eine möglichkeit die haben perfekt geh passt und keiner der nicht Funktioniert hatt also die es eher unauffällig machen wollen ist das ein möglichkeit.
Max Muster,3.0 out of 5 stars,Kleber artige partikel,Reviewed in Germany on 18 January 2023,Es sind in jedem Kondom Stücke die eine Kkebstoffstift artige Konsistenz haben. 2 von den Kondomen Sind gerissen und die Passform is weniger gut
René Heppelter,5.0 out of 5 stars,Sitzt super 🤣,Reviewed in Germany on 7 December 2022,Läuft damit
